Name,Biography
Brandon Aiyuk,"His last name is pronounced EYE-yook.Aiyuk is only the second alum from a Northern Nevada high school to become a first-round NFL draft pick. Former DT Shawn Knight (Reed HS, NV) was drafted by the New Orleans Saints 11th overall in the 1987 NFL Draft.Though he grew up in Nevada, Aiyuk has roots in Northern California. He attended Sierra (Rocklin, CA) College from 2016-17, where the 49ers spent training camp from 1981-1997. Additionally, Aiyuk began supporting the 49ers at a young age, thanks to his mom. ""My mom's been a huge 49ers fan her whole life, so that kind of bled on me a little bit when I was younger,"" said Aiyuk. When he got the call informing him that he would be a member of the team, Aiyuk realized a childhood dream that he wasn't sure would come true. ""There were a lot of people telling me before today and all week that it was going to happen. So, it's crazy that it actually did happen.""During his time at Sierra College and later Arizona State, Aiyuk was known for his work ethic on and off the field. Ben Noonan, who coached Aiyuk at Sierra College, found Aiyuk in the weight room constantly, improving his squat from 275 pounds coming out of high school to 500 pounds by May 2017. That drive carried over to the practice field, where Aiyuk routinely stayed for 30 minutes after every practice working on routes in the Rocklin heat. ""It gets up to a good 110 degrees, and then he's out there until the daylight is gone with the quarterbacks after a four-hour day,"" Noonan said. ""And demanding that the quarterbacks stay, you know, whether their arm was falling off or not."""
Brandon Allen,"Allen (6-2, 209) was originally drafted by the Jacksonville Jaguars in the sixth round (201st overall) of the 2016 NFL Draft. Throughout his seven-year NFL career with the Jaguars (2016), Los Angeles Rams (2017-18), Denver Broncos (2019) and Cincinnati Bengals (2020-2022), he has appeared in 15 games (nine starts) and completed 149 of 263 passing attempts (56.7%) for 1,611 yards and 10 touchdowns. In 2022 with the Bengals, Allen appeared in one game and completed three passing attempts for 22 yards.Allen (6-2, 209) was originally drafted by the Jacksonville Jaguars in the sixth round (201st overall) of the 2016 NFL Draft. Throughout his seven-year NFL career with the Jaguars (2016), Los Angeles Rams (2017-18), Denver Broncos (2019) and Cincinnati Bengals (2020-2022), he has appeared in 15 games (nine starts) and completed 149 of 263 passing attempts (56.7%) for 1,611 yards and 10 touchdowns. In 2022 with the Bengals, Allen appeared in one game and completed three passing attempts for 22 yards.A 30-year-old native of Fayetteville, AR, Allen attended the University of Arkansas where he appeared in 42 games (38 starts) and completed 583 of 1,016 passing attempts (57.4%) for 7,463 yards and 64 touchdowns in addition to 135 carries for 133 yards and four touchdowns. He finished his collegiate career with the second-most completetions (583) and the third-most passing yards (7,463) by a Razorback."
Arik Armstead,"Lists his parents, Guss and Christa, as the most influential people in his life. He also gives credit to his grandfather, Willie B. Armstead, an Air Force veteran, for instilling the value of integrity that his parents have passed along to him. ""A lot of things he instilled in my dad have carried down to me. Having a family member who is more courageous than you can imagine and who served his country is a huge honor.""Played both basketball and football at Oregon before focusing only on football in 2014. During Super Bowl 50's Media Day, Armstead joined Sacramento's ABC10 sports team as a reporter to learn what it is like to cover NFL players during one of the most hectic events of the year. Held at SAP Center in San Jose, Armstead interviewed former teammates, fans, media members and Miss Universe. ""It's like a feeding frenzy - everyone running around, and being part of that frenzy was a unique experience,"" said Armstead during the event.For Armstead, the NFL Draft process was a whirlwind tour. He went straight from the National Championship Game to San Diego to prepare for the NFL Combine and then to Sacramento for the Draft itself. However, his favorite part of the process was being drafted by a team so close to his hometown. ""It's a dream come true. I'm blessed to be in this situation. Not a lot of other people are that close to home. Being able to play home games in front of my family is perfect for me.""In May of 2020, Armstead donated $50,000 to Sacramento's Mercy Housing for students to be able to participate in distance learning. The donation will provide 350 Chromebooks to students, as well as one-year of pre-paid internet service for those families, many of whom have multiple students in their households. Also included in the donation were education kits consisting of learning activities, books, supplies and even healthy snacks benefiting children of all ages who remain physically at home, unable to visit their schools because of the coronavirus pandemic. ""These are things that people should have access to, these are things that students in other communities do have access to, so this is just a baseline of essential needs for them to be successful in the classroom,"" said Armstead. ""I think people need to realize that some of the things we're experiencing right now maybe the new norm, even when the virus calms down."" Armstead took the time to personally deliver the Chromebooks to the recipients of the donation. ""A lot of students had been disengaged before the pandemic, but even more so with school getting canceled and having to learn virtually and not having the technology and access,"" said Armstead. ""I'm happy that I launched the foundation last year so that I could try to address some of these issues in my community.""During the 2020 offseason, Armstead began implimenting several installments of Storytime with Arik Armstead using virtual platforms. For Earth Day, Armstead surprised a virtual classroom of 20 second-grade students with a story time, Q&A and conversations about the environment. For Mother's Day, he and his mom, Christa, read ""Guess How Much I Love You"" on the 49ers Instagram account. Education is at the forefront of Armstead's commitment to the Bay Area, as the defensive lineman founded the Armstead Academic Project to ensure every student, no matter their socioeconomic status, has direct access to a quality education through a positive learning environment and resources needed in order to thrive and be successful.Armstead returned to his hometown of Sacramento during the 2019 offseason to host the second charity weekend for his foundation, Armstead Academic Project, which promotes equal opportunities through education. The festivities kicked off as teammates Ronald Blair III, Richard Sherman, Jaquiski Tartt and Ahkello Witherspoon joined Armstead for a charity gala and silent auction which raised more than $100,000. Armstead then led a youth camp the following morning, where the children were able to get hands-on lessons from the NFL players. Throughout the day, Armstead stressed the importance of hard work, sportsmanship and teamwork.NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during Week 14 of the 2019 season. Armstead and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding. In choosing the foundation Arik Armstead Academic Project which focuses on education equity, ""I play for all children to have the right to quality education,"" said Armstead.NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during a designated home game between Weeks 13-15 of 2018. Armstead and his teammates represented their respective causes with custom-designed cleats in an effort to raise awareness and funding.In April of 2018, Armstead worked with Leataata Floyd Elementary and 916 Ink to host a trip to the Imaginarium, where the young students developed their artistic abilities, while learning how to be better at communicating. The event was in conjunction with Armstead's foundation, which focuses on assisting at-risk youth, particularly through the means of education.Armstead returned to his hometown of Sacramento this past offseason to host the second charity weekend for his foundation, Armstead Academic Project, which promotes equal opportunities through education. The festivities kicked off as teammates DeForest Buckner, Ronald Blair III, Richard Sherman, Sheldon Day, Jaquiski Tartt and Ahkello Witherspoon joined Armstead for a charity gala and silent auction which raised more than $100,000. Armstead then led a youth camp the following morning, where the children were able to get hands-on lessons from the NFL players. Throughout the day, Armstead stressed the importance of hard work, sportsmanship and teamwork.Members of the 49ers defensive line spent time with 25 local youth from the Fam 1st Foundation at Shoe Palace for a special holiday shopping experience on December 16, 2019. The Fam 1st Foundation is based in Oakland and focuses on underserved youth, aiming to build new generations of innovative thinkers to create solutions for the future of Oakland and beyond.In 2017, Armstead returned to his hometown of Sacramento to hold his Annual free youth football camp. The camp was held in Elk Grove, CA and sponsors made it possible for 200 scholarships to be offered to interested kids. The kids participated in both football and conditioning drills with the players and then were allowed to ask questions to discuss not only football, but school, healthy choices, and other topics. Armstead's goal was to provide campers with a unique experience on the football field, as well as insight into the hard work and dedication that are needed to make it to the NFL. ""I want the kids to enjoy themselves while also coming away learning that they can do whatever they put their mind to,"" said Armstead. ""I want to teach them the things that helped me get where I am now like the importance of education, work ethic, and faith.""If Armstead wasn't in the NFL, he would be playing basketball. He was a three-year starter in basketball at Pleasant Grove High School in Sacramento and played two years at the University of Oregon before focusing solely on football for the 2014 season. He entered his high school senior season listed as the number three prospect in NorCalPrep.com's Top 40 rankings for the class of 2012. ""A big part of the recruiting pitch from Oregon was they were going to let me play two sports. We only lost 5 games during my time there. I wanted to go somewhere with the chance to win and be a part of something special.""Armstead's brother, Armond, was forced to retire before ever playing a down in the NFL. After playing collegiately at USC, Armond became an All-Star for the Toronto Argonauts of the Canadian Football League, helping the team win the league's 100th Grey Cup. He went on to sign with the New England Patriots in 2013, but medical issues forced him to hang up his cleats. ""The biggest thing he has told me through this process is, 'at the end of the day, it's just football.' Having a brother who played at this level makes everything less overwhelming.""In April of 2018, Armstead worked with Leataata Floyd Elementary and 916 Ink to host a trip to the Imaginarium, where the young students developed their artistic abilities, while learning how to be better at communicating. The event was in conjunction with Armstead's foundation, which focuses on assisting at-risk youth, particularly through the means of education.Armstead and his teammates joined Levi's in support of breast, colon and pediatric cancer warriors at the Crucial Catch Fashion Show presented by Dignity Health in October of 2018. 49ers players and cancer warriors took to the runway to show off their attire and share their stories of strength and courage with the audience."
Aaron Banks,"COLLEGEAppeared in 38 games (31 starts) in four years (2017- 20) at Notre Dame. As a senior in 2020, started all 12 games, including an appearance in the CFP Semi- final. Named First-Team AFCA All-America and Associated Press First-Team All-America as a senior. Started all 13 games as a junior in 2019 and helped the Irish rank 13th nation- ally in scoring offense. Played in all 13 games (6 starts) as a sophomore in 2018. Did not see game action as a freshman in 2017.PERSONALBANKS' GOLDEN NUGGETS"
Ben Bartch,"Bartch (6-6, 315) was originally drafted by the Jacksonville Jaguars in the fourth round (116th overall) of the 2020 NFL Draft. Throughout his four-year career with the Jaguars (2020-23), he has appeared in 41 games (20 starts). In 2023, he appeared in eight games and made three starts. Bartch was waived by Jacksonville on October 31, 2023, and signed to the team's practice squad on November 3, 2023.A 25-year-old native of McMinnville, OR, Bartch attended St. John's University (MN) for four years (2016-20) where he appeared in 36 games and earned All-MIAC Second-Team honors in 2018.Bartch (6-6, 315) was originally drafted by the Jacksonville Jaguars in the fourth round (116th overall) of the 2020 NFL Draft. Throughout his four-year career with the Jaguars (2020-23), he has appeared in 41 games (20 starts). In 2023, he appeared in eight games and made three starts. Bartch was waived by Jacksonville on October 31, 2023, and signed to the team's practice squad on November 3, 2023.A 25-year-old native of McMinnville, OR, Bartch attended St. John's University (MN) for four years (2016-20) where he appeared in 36 games and earned All-MIAC Second-Team honors in 2018."
Robert Beal Jr.,"Beal Jr. (6-4, 250) was the second of two fifth-round draft picks (173rd overall) selected by the 49ers in this year's NFL Draft. He appeared in 54 games (10 starts) in six years (2017-22) at Georgia and registered 72 tackles, 12.0 TFLs, 10.5 sacks, 2 PDs, 2 FFs and 1 FR. In 2022, appeared in 15 games (8 starts) and notched 26 tackles, 3.0 TFLs, 3.0 sacks, 1 FF and 1 FR. In 2021, appeared in all 15 games (2 starts) and tallied 23 tackles, 7.5 TFLs, 6.5 sacks and 2 PDs. As a junior in 2020, appeared in 7 games on special teams. As a sophomore in 2019, appeared in 6 games and registered 8 tackles. Saw action in 11 games as a freshman in 2018 and registered 15 tackles, 1.0 sack and 1 FF. Redshirted in 2017.Beal Jr. (6-4, 250) was the second of two fifth-round draft picks (173rd overall) selected by the 49ers in this year's NFL Draft. He appeared in 54 games (10 starts) in six years (2017-22) at Georgia and registered 72 tackles, 12.0 TFLs, 10.5 sacks, 2 PDs, 2 FFs and 1 FR. In 2022, appeared in 15 games (8 starts) and notched 26 tackles, 3.0 TFLs, 3.0 sacks, 1 FF and 1 FR. In 2021, appeared in all 15 games (2 starts) and tallied 23 tackles, 7.5 TFLs, 6.5 sacks and 2 PDs. As a junior in 2020, appeared in 7 games on special teams. As a sophomore in 2019, appeared in 6 games and registered 8 tackles. Saw action in 11 games as a freshman in 2018 and registered 15 tackles, 1.0 sack and 1 FF. Redshirted in 2017.A 23-year-old native of Duluth, GA, Beal attended Peach Ridge (Duluth, GA) High School."
Ronnie Bell,"Bell (6-0, 192) was the third of three sixth-round draft picks (221st overall) selected by the 49ers in this year's NFL Draft. He appeared in 47 games (31 starts) in five years (2018-22) at Michigan and registered 145 recepts. for 2,269 yds. and 9 TDs. In 2022, started all 14 games and set career highs with 62 recepts. for 889 yds. and 4 TDs, earning Third-Team All-Big Ten honors. In 2021, started 1 game and caught a 76-yd. TD recept. Started all 6 games as a junior in 2020 and recorded 26 recepts. for 401 yds. and 1 TD. Appeared in 13 games (10 starts) as a sophomore in 2019 and registered 48 recepts. for 758 yds. and 1 TD. As a freshman in 2018, appeared in all 13 games and brought in 8 recepts. for 145 yds. and 2 TDs.Bell (6-0, 192) was the third of three sixth-round draft picks (221st overall) selected by the 49ers in this year's NFL Draft. He appeared in 47 games (31 starts) in five years (2018-22) at Michigan and registered 145 recepts. for 2,269 yds. and 9 TDs. In 2022, started all 14 games and set career highs with 62 recepts. for 889 yds. and 4 TDs, earning Third-Team All-Big Ten honors. In 2021, started 1 game and caught a 76-yd. TD recept. Started all 6 games as a junior in 2020 and recorded 26 recepts. for 401 yds. and 1 TD. Appeared in 13 games (10 starts) as a sophomore in 2019 and registered 48 recepts. for 758 yds. and 1 TD. As a freshman in 2018, appeared in all 13 games and brought in 8 recepts. for 145 yds. and 2 TDs.A 23-year-old native of Kansas City, MO, Bell attended Park Hill (Kansas City, MO) High School."
Nick Bosa,"His father, John, was selected 16th overall by the Miami Dolphins in the 1987 NFL Draft. The following season, Miami chose his future uncle, Eric Kumerow, also 16th overall.The San Diego Chargers selected his brother, Joey, 3rd overall in the 2016 NFL Draft. The Bosa brothers had nicknames growing up, with Joey's being Big Bear and Nick's as Smaller Bear.In 2017, was the winner of the Big Ten's Smith-Brown Defensive Lineman of the Year Award, becoming the fourth-consecutive member of Ohio State to win the award, following his brother, Joey (2014-15) and Indianapolis Colts DE Tyquan Lewis (2016).2019: AP NFL Defensive Rookie of the Year, Pepsi Rookie of the Year, Sporting News Rookie of the Year, PFWA Rookie of the Year, PFWA Defensive Rookie of the Year, PFWA All-Rookie Team, NFC Pro Bowl, NFC Defensive Player of the Month (October), Defensive Rookie of the Month (October), NFC Defensive Player of the Week (Week 5 and Week 8)Registered 9.0 sacks in his rookie season, the 4th-most by a 49ers rookie since 1982.Participated in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose.Bosa's father, John, a former member of the Miami Dolphins, encouraged sons Nick and Joey to try other sports like tennis, golf and baseball. However, Nick only had one sport in mind, and he let his parents know it. ""Nick threw temper tantrums,"" John said. After successfully convincing his parents to let him play football, Nick gave everything he had to the sport. Even as a kid on the field, he wasn't afraid to speak his mind. Early in his football career, Cheryl watched from the sideline at practice as Nick approached a coach. ""I find out later they'd put Nick with the offense,"" she recalled. ""And he walked up to this guy, totally by himself, tugged on his shirt and said, 'I don't want to play offense. I want to play defense.'"""
Jake Brendel,"Growing up, Brendel's family was involved in local musical theater. During a production of ""Annie,"" Brendel's dad, Bill, played ""Daddy Warbucks,"" his mom was the musical director and Lauren and Jake played two background actors. ""Jake was the dancer. The kid could dance and sing,"" said Bill.Enjoys fishing, particularly for bass, bluegills and walleye.Spent much of his childhood participating in various sports, such as football, basketball, baseball, lacrosse, wrestling and was a competitive swimmer in the backstroke and breaststroke.NFL players had the opportunity to participate in the NFL's annual My Cause, My Cleats campaign during the 2018 season. Brendel represented the foundation, ""Living for Zachary,"" named for former high school teammate Zachary Schraw, who passed away in 2009 on the Plano East High School football field. He died suddenly of cardiac arrest. ""If there was an AED (automated external defibrillator) nearby, it could have saved Zachary's life, might have brought his heart back to life,"" Brendel said. ""The foundation is trying to make sure the next time that happens, a life can be saved.""As a senior at UCLA in 2015, Brendel and his teammates suited up to play in their senior game at the Rose Bowl. He was joined by his entire family, including older sister, Lauren. Lauren had officially made captain in the Air Force the week before, and decided to skip her ceremonial pinning in order to watch her brother play. ""It was great to have her there, especially being Military Appreciation Day,"" Jake said. ""She loved every single aspect of it."" Lauren, through her various assignments in the Air Force, was forced to miss a majority of her brother's games, but knew she wanted to be there for this one. ""My feeling was, I'll be pinned for major, the next promotion, and then my family can be there,"" Lauren said. ""Senior night was a one and only type thing for Jake. I couldn't miss that ceremony."""
Ji'Ayir Brown,"Brown (5-11, 202) was the first of three third-round draft picks (87th overall) selected by the 49ers in this year's NFL Draft. He appeared in 35 games (26 starts) in three years (2020-22) at Penn State and registered 153 tackles, 19 PDs, 10 INTs, 9.0 TFLs, 4.5 sacks, 3 FFs and 3 FRs after transferring from Lackawanna Community College (Scranton, PA) where he spent two seasons (2018-19). In 2022, started all 13 games at S and notched 74 tackles, 7.0 TFLs, 4.5 sacks, 2 FFs and 1 FR, earning Third-Team All-Big Ten honors for the second-consecutive season. In 2021, started all 13 games at S and tallied 73 tackles, 11 PDs, 6 INTs, 2 FRs and 1 FF, earning Third-Team All-Big Ten honors. Appeared in 9 games as a junior in 2020 and posted 6 tackles and 1 PD. Helped guide Lackawanna to a 21-1 record and a trip to the NJCAA Championship Game during his 2 years with the team. Appeared in 9 games and registered 35 tackles, 5 PDs, 3 INTs and 1 FR as a sophomore in 2019 where he earned the Northeast Football Conference's Defensive Player of the Year Award, First-Team All-NEFC and NJCAA First-Team All-American honors. Tallied 40 tackles, 5 INTs and 3 PDs as a freshman in 2018.Brown (5-11, 202) was the first of three third-round draft picks (87th overall) selected by the 49ers in this year's NFL Draft. He appeared in 35 games (26 starts) in three years (2020-22) at Penn State and registered 153 tackles, 19 PDs, 10 INTs, 9.0 TFLs, 4.5 sacks, 3 FFs and 3 FRs after transferring from Lackawanna Community College (Scranton, PA) where he spent two seasons (2018-19). In 2022, started all 13 games at S and notched 74 tackles, 7.0 TFLs, 4.5 sacks, 2 FFs and 1 FR, earning Third-Team All-Big Ten honors for the second-consecutive season. In 2021, started all 13 games at S and tallied 73 tackles, 11 PDs, 6 INTs, 2 FRs and 1 FF, earning Third-Team All-Big Ten honors. Appeared in 9 games as a junior in 2020 and posted 6 tackles and 1 PD. Helped guide Lackawanna to a 21-1 record and a trip to the NJCAA Championship Game during his 2 years with the team. Appeared in 9 games and registered 35 tackles, 5 PDs, 3 INTs and 1 FR as a sophomore in 2019 where he earned the Northeast Football Conference's Defensive Player of the Year Award, First-Team All-NEFC and NJCAA First-Team All-American honors. Tallied 40 tackles, 5 INTs and 3 PDs as a freshman in 2018.A 23-year-old native of Trenton, NJ, Brown attended Trenton Central (NJ) HS."
Spencer Burford,
Oren Burks,
Chris Conley,"Conley (6-3, 205) was originally drafted by the Kansas City Chiefs in the third round (76th overall) of the 2015 NFL draft. Over his eight-year NFL career with the Chiefs (2015-18), Jacksonville Jaguars (2019-20), Houston Texans (2021-22) and Tennessee Titans (2022), he has appeared in 109 games (63 starts) and registered 217 receptions for 2,853 yards and 15 touchdowns. Conley has also appeared in five postseason games (two starts) where he recorded eight receptions for 61 yards and one touchdown.Conley (6-3, 205) was originally drafted by the Kansas City Chiefs in the third round (76th overall) of the 2015 NFL draft. Over his eight-year NFL career with the Chiefs (2015-18), Jacksonville Jaguars (2019-20), Houston Texans (2021-22) and Tennessee Titans (2022), he has appeared in 109 games (63 starts) and registered 217 receptions for 2,853 yards and 15 touchdowns. Conley has also appeared in five postseason games (two starts) where he recorded eight receptions for 61 yards and one touchdown.Conley began the 2022 season with the Texans and split time between the team's practice squad and active roster. He appeared in two games before being released on October 4, 2022. Conley then signed to the Chiefs practice squad on October 6, 2022 before signing to the Titans active roster on October 25, 2022 where he went on to appear in seven games (one start) and register four receptions for 46 yards with Tennessee.A 30-year-old native of Dallas, GA, Conley attended the University of Georgia where he played four seasons (2011-14) and finished wtih 177 receptions for 1,938 yards and 20 touchdowns."
Sam Darnold,"Darnold (6-3, 225) was originally drafted by the New York Jets as the third overall pick of the 2018 NFL Draft. Throughout his five-year NFL career with the Jets (2018-20) and Carolina Panthers (2021-22), he has appeared in 56 games (55 starts) and completed 1,054 of 1,765 passing attempts (59.7%) for 11,767 yards, 61 touchdowns and a passer rating of 78.2 to go along with 188 carries for 745 yards and 12 touchdowns on the ground.Darnold (6-3, 225) was originally drafted by the New York Jets as the third overall pick of the 2018 NFL Draft. Throughout his five-year NFL career with the Jets (2018-20) and Carolina Panthers (2021-22), he has appeared in 56 games (55 starts) and completed 1,054 of 1,765 passing attempts (59.7%) for 11,767 yards, 61 touchdowns and a passer rating of 78.2 to go along with 188 carries for 745 yards and 12 touchdowns on the ground.In 2022 with the Panthers, Darnold started six games and completed 82 of 140 passing attempts (58.6%) for 1,143 yards, seven touchdowns and a passer rating of 92.6 to go along with 26 rushes for 106 yards and two touchdowns.A 25-year-old native of San Clemente, CA, Darnold attended the University of Southern California for three years (2015-17) where he appeared in 27 games (24 starts) and completed 549 of 846 passing attempts (64.9%) for 7,229 yards and 57 touchdowns. Darnold added 137 carries for 332 yards and seven touchdowns on the ground as a Trojan."
Jon Feliciano,"Feliciano (6-4, 325) was originally drafted by the Las Vegas Raiders in the fourth round (128th overall) of the 2015 NFL Draft. Throughout his eight-year NFL career with the Raiders (2015-18), Buffalo Bills (2019-21) and New York Giants (2022), he has appeared in 97 regular season games (54 starts) and nine postseason contests (six starts).Feliciano (6-4, 325) was originally drafted by the Las Vegas Raiders in the fourth round (128th overall) of the 2015 NFL Draft. Throughout his eight-year NFL career with the Raiders (2015-18), Buffalo Bills (2019-21) and New York Giants (2022), he has appeared in 97 regular season games (54 starts) and nine postseason contests (six starts).In 2022 with the Giants, Feliciano started all 15 regular season games he appeared in at center. He also started each of the team's two postseason contests.A 31-year-old native of Davie, FL, Feliciano attended the University of Miami (FL) for five years (2010-14) where he appeared in 48 games (46 starts)."
Demetrius Flannigan-Fowles,"Flannigan-Fowles describes himself as a ""momma's boy."" While growing up, he and his mom, Kurtisha, would regularly have ""date nights"" and spend time together.Began playing football at the age of 6, when his uncle, Harold, signed him up for flag football.Took part in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose.In November of 2019, the 49ers teamed up with Martha's Kitchen of San Jose to serve Thanksgiving dinner to over 300 people in need. Members of the team served food, bussed tables and refilled beverages. The team also provided toiletries and giveaways to all those in attendance."
Tashaun Gipson,
Kevin Givens,"Was presented with the Jim O'Hora Award in 2018, which is presented annually to a defensive player on the Penn State football team for ""exemplary conduct, loyalty, interest, attitude and improvement.""Members of the 49ers defensive line spent time with 25 local youth from the Fam 1st Foundation at Shoe Palace for a special holiday shopping experience on December 16, 2019. The Fam 1st Foundation is based in Oakland and focuses on underserved youth, aiming to build new generations of innovative thinkers to create solutions for the future of Oakland and beyond.Givens participated in the 49ers Annual Community Day, helping pack more than 31,000 nutritious meals in collaboration with Feeding Children Anywhere. The meals, along with groceries and backpacks, were distributed to those most in need in East San Jose."
